SourceGene	TargetGene	PathwayType	Interaction
SRF	SRF	regulatory	regulate
SRF	NR4A1	regulatory	regulate
SRF	ACTG2	regulatory	regulate
SRF	MYL3	regulatory	regulate
SRF	ACTB	regulatory	regulate
SRF	CNN1	regulatory	regulate
SRF	DUSP5	regulatory	regulate
SRF	SNAI1	regulatory	regulate
SRF	DNM3OS	regulatory	regulate
SRF	CASQ2	regulatory	regulate
SRF	FXN	regulatory	regulate
SRF	TAGLN	regulatory	regulate
IRS2	PIK3CG	signaling	activate
IRS2	PIK3CD	signaling	activate
IRS2	GRB2	signaling	activate
IRS2	PIK3R5	signaling	activate
IRS2	PIK3CB	signaling	activate
IRS2	PIK3CA	signaling	activate
IRS2	PIK3R6	signaling	activate
IRS2	PIK3R3	signaling	activate
IRS2	PIK3R1	signaling	activate
IRS2	PIK3R2	signaling	activate
STK39	MAPK14	signaling	activate
PDGFD	KDR	signaling	activate
PDGFD	FGFR2	signaling	activate
PDGFD	NTRK2	signaling	activate
PDGFD	TEK	signaling	activate
PDGFD	PDGFRA	signaling	activate
PDGFD	PDGFRB	signaling	activate
PDGFD	EGFR	signaling	activate
PDGFD	MET	signaling	activate
PDGFD	FLT4	signaling	activate
PDGFD	FLT1	signaling	activate
PDGFD	INSR	signaling	activate
PDGFD	IGF1R	signaling	activate
PDGFD	EPHA2	signaling	activate
PDGFD	ERBB2	signaling	activate
PDGFD	FGFR4	signaling	activate
PDGFD	KIT	signaling	activate
PDGFD	NGFR	signaling	activate
PDGFD	FGFR3	signaling	activate
PDGFD	FGFR1	signaling	activate
PDGFD	FLT3	signaling	activate
PDGFD	NTRK1	signaling	activate
PDGFD	CSF1R	signaling	activate
PDGFD	INSRR	signaling	activate
GATA1	BCL2L1	regulatory	regulate
GATA1	EPO	regulatory	regulate
GATA1	PLK2	regulatory	regulate
GATA1	MYC	regulatory	regulate
GATA1	GFI1B	regulatory	regulate
GATA1	ALCAM	regulatory	regulate
GATA1	HOXA10	regulatory	regulate
GATA1	LMO2	regulatory	regulate
GATA1	MIR23A	regulatory	regulate
GATA1	MIR27A	regulatory	regulate
GATA1	FCER1A	regulatory	regulate
GATA1	WT1	regulatory	regulate
GATA1	HHEX	regulatory	regulate
GATA1	SLC19A1	regulatory	regulate
GATA1	MIR24-2	regulatory	regulate
GATA1	COPS5	regulatory	regulate
GATA1	RUNX1T1	regulatory	regulate
GATA1	WNK4	regulatory	regulate
GATA1	CBFA2T3	regulatory	regulate
GATA1	DACH1	regulatory	regulate
GATA1	HBE1	regulatory	regulate
GATA1	HOXB2	regulatory	regulate
GATA1	PRG2	regulatory	regulate
GATA1	RNASE2	regulatory	regulate
GATA1	TAL1	regulatory	regulate
GATA1	TRD	regulatory	regulate
GATA1	FURIN	regulatory	regulate
GATA1	HMBS	regulatory	regulate
GATA1	SLC44A1	regulatory	regulate
GATA1	HLA-E	regulatory	regulate
GATA1	CDC6	regulatory	regulate
GATA1	HBZ	regulatory	regulate
GATA1	RHCE	regulatory	regulate
GATA1	ZNF268	regulatory	regulate
GATA1	GYPC	regulatory	regulate
GATA1	ERCC1	regulatory	regulate
GATA1	TBXA2R	regulatory	regulate
GATA1	YBX1	regulatory	regulate
GATA1	PPOX	regulatory	regulate
GATA1	DICER1	regulatory	regulate
GATA1	PRDX5	regulatory	regulate
GATA1	F13A1	regulatory	regulate
GATA1	ITGA2B	regulatory	regulate
GATA1	GP6	regulatory	regulate
GATA1	ANK1	regulatory	regulate
GATA1	IL1RL1	regulatory	regulate
GATA1	MIR138-2	regulatory	regulate
GATA1	EPOR	regulatory	regulate
GATA1	HEMGN	regulatory	regulate
GATA1	ALAS2	regulatory	regulate
GATA1	GYPB	regulatory	regulate
GATA1	HBA1	regulatory	regulate
GATA1	MUC5B	regulatory	regulate
GATA1	HBG1	regulatory	regulate
GATA1	AGGF1	regulatory	regulate
GATA1	SPTA1	regulatory	regulate
GATA1	ITGAV	regulatory	regulate
GATA1	CYBB	regulatory	regulate
GATA1	CLC	regulatory	regulate
GATA1	CCR3	regulatory	regulate
GATA1	HBB	regulatory	regulate
GATA1	ALOX15	regulatory	regulate
GATA1	SPTB	regulatory	regulate
GATA1	AHSP	regulatory	regulate
GATA1	RUNX1	signaling	activate
FOXF2	SFTPB	regulatory	regulate
FOXF2	FOXC2	regulatory	regulate
GRM5	GRIN1	signaling	activate
GRM5	GRIN3A	signaling	activate
GRM5	GRIN2B	signaling	activate
GRM5	GNA15	signaling	activate
GRM5	GNAQ	signaling	activate
GRM5	PLCB2	signaling	activate
GRM5	GRIN2C	signaling	activate
GRM5	PLCB1	signaling	activate
GRM5	GNA12	signaling	activate
GRM5	PLCB3	signaling	activate
GRM5	TRPC1	signaling	activate
GRM5	GNA13	signaling	activate
GRM5	PLCB4	signaling	activate
GRM5	GRIN2A	signaling	activate
GRM5	GRIN3B	signaling	activate
GRM5	GNAS	signaling	activate
GRM5	GNA11	signaling	activate
GRM5	GNA14	signaling	activate
GRM5	GRIN2D	signaling	activate
IFNGR1	TYK2	signaling	activate
IFNGR1	JAK3	signaling	activate
IFNGR1	JAK1	signaling	activate
IFNGR1	RELA	signaling	activate
IFNGR1	NOS2	signaling	activate
IFNGR1	JAK2	signaling	activate
IFNGR1	NFKB1	signaling	activate
IFNGR1	STAT1	signaling	activate
SERPINB2	PLAT	signaling	inhibit
SERPINB2	PLAU	signaling	inhibit
SOX9	AMH	regulatory	regulate
SOX9	RPE65	regulatory	regulate
SOX9	COL2A1	regulatory	regulate
SOX9	TCF7L2	regulatory	regulate
SOX9	FURIN	regulatory	regulate
SOX9	IGFBP4	regulatory	regulate
SOX9	RASSF3	regulatory	regulate
SOX9	DCC	regulatory	regulate
SOX9	S100P	regulatory	regulate
SOX9	RGR	regulatory	regulate
SOX9	TFAP2E	regulatory	regulate
SOX9	BEST1	regulatory	regulate
SOX9	CD3E	regulatory	regulate
SOX9	RLBP1	regulatory	regulate
SOX9	CEBPD	regulatory	repress
IKBKB	NFKB1	signaling	inhibit
IKBKB	NFKBIA	signaling	activate
IKBKB	IRS2	signaling	inhibit
IKBKB	TSC1	signaling	inhibit
IKBKB	FOXO3	signaling	inhibit
IKBKB	TSC2	signaling	inhibit
IKBKB	RELA	signaling	activate
IKBKB	PTEN	signaling	inhibit
IKBKB	TBC1D7-LOC100130357	signaling	inhibit
IKBKB	FOXO6	signaling	inhibit
IKBKB	TBC1D7	signaling	inhibit
IKBKB	IRS1	signaling	inhibit
IKBKB	NFKBIB	signaling	inhibit
IKBKB	FOXO1	signaling	inhibit
IKBKB	NFKBIE	signaling	activate
IKBKB	FOXO4	signaling	inhibit
IKBKB	IRS4	signaling	inhibit
IKBKB	BAD	signaling	inhibit
IKBKB	NCOA3	signaling	activate
IKBKB	CYLD	signaling	activate
IKBKB	IKBKG	signaling	activate
IKBKB	IKBKB	signaling	inhibit
IKBKB	CDKN2A	signaling	inhibit
IKBKB	FOXO	signaling	inhibit
IKBKB	YWHAB	signaling	inhibit
IKBKB	DOK1	signaling	activate
RET	KRAS	signaling	activate
RET	NRAS	signaling	activate
RET	HRAS	signaling	activate
RET	AKT1	signaling	activate
RET	SHC1	signaling	activate
RET	MAPK14	signaling	activate
RET	GRB7	signaling	activate
RET	GRB10	signaling	activate
RET	DOK6	signaling	activate
RET	DOK5	signaling	activate
RET	ERK1/2	signaling	activate
RET	DOK4	signaling	activate
RET	GFRA1	signaling	activate
RET	MAPK3	signaling	activate
RET	PTK2	signaling	activate
RET	AKT	signaling	activate
RET	DOK1	signaling	activate
RET	MAPK1	signaling	activate
RET	RET	signaling	activate
RET	FRS2	signaling	activate
KDM5B	CBX4	signaling	activate
KDM5B	PAX9	signaling	activate
KDM5B	FOXG1	signaling	activate
CDH2	CDH2	signaling	activate
CDH2	CDON	signaling	activate
HTT	ITPR1	signaling	activate
KDR	KDR	signaling	activate
KDR	SH2D2A	signaling	activate
KDR	GAB1	signaling	activate
KDR	CDC42	signaling	activate
KDR	PLCB1	signaling	activate
KDR	PIK3R3	signaling	activate
KDR	SHC4	signaling	activate
KDR	CRKL	signaling	activate
KDR	PIK3R1	signaling	activate
KDR	CRK	signaling	activate
KDR	PIK3R2	signaling	activate
KDR	SRC	signaling	activate
KDR	PLCB2	signaling	activate
KDR	PIK3CB	signaling	activate
KDR	PIK3CA	signaling	activate
KDR	PTK2	signaling	activate
KDR	PIK3CD	signaling	activate
KDR	PLCG1	signaling	activate
KDR	GRB2	signaling	activate
KDR	JAK1	signaling	activate
KDR	SHC1	signaling	activate
KDR	SHC3	signaling	activate
KDR	PLCB4	signaling	activate
KDR	PLCG2	signaling	activate
KDR	SHC2	signaling	activate
KDR	JAK2	signaling	activate
KDR	PXN	signaling	activate
KDR	IRS1	signaling	activate
KDR	PLCB3	signaling	activate
TGFBR2	PPP2CA	signaling	activate
TGFBR2	PPP2R1B	signaling	activate
TGFBR2	RHOA	signaling	activate
TGFBR2	PPP2CB	signaling	activate
TGFBR2	SMAD3	signaling	activate
TGFBR2	SMAD2	signaling	activate
TGFBR2	PPP2R1A	signaling	activate
TGFBR2	DAXX	signaling	activate
TGFBR2	SMAD4	signaling	activate
TGFBR2	TGFBR2	signaling	activate
TGFBR2	TGFBR1	signaling	activate
TGFBR2	PARD6A	signaling	activate
TGFBR2	PIK3R1	signaling	activate
TGFBR2	PIK3R2	signaling	activate
TGFBR2	ZFYVE9	signaling	activate
EZR	ACTB	signaling	activate
EZR	ACTG1	signaling	activate
EZR	FES	signaling	activate
ACVR2A	SMAD3	signaling	activate
ACVR2A	SMAD2	signaling	activate
ACVR2A	ACVR1B	signaling	activate
ACVR2A	ACVR1	signaling	activate
EDA	EDAR	signaling	activate
EDA	EDA2R	signaling	activate
CDKN2C	CDK4	signaling	inhibit
CDKN2C	CDK6	signaling	inhibit
HTR7	GNG7	signaling	activate
HTR7	GNGT1	signaling	activate
HTR7	GNAS	signaling	activate
HTR7	GNB4	signaling	activate
HTR7	GNG2	signaling	activate
HTR7	GNG4	signaling	activate
HTR7	GNB2	signaling	activate
HTR7	GNG3	signaling	activate
HTR7	GNG8	signaling	activate
HTR7	GNB5	signaling	activate
HTR7	GNG11	signaling	activate
HTR7	GNG5	signaling	activate
HTR7	GNG13	signaling	activate
HTR7	GNGT2	signaling	activate
HTR7	GNB3	signaling	activate
HTR7	GNB1	signaling	activate
HTR7	GNAL	signaling	activate
HTR7	GNG10	signaling	activate
HTR7	GNG12	signaling	activate
KISS1	KISS1R	signaling	activate
PLD1	SPHK1	signaling	activate
PLD1	SPHK2	signaling	activate
RBP3	RPE65	regulatory	regulate
RPGR	RAB8A	signaling	activate
SOX3	CTNNB1	signaling	inhibit
SP3	LPL	regulatory	regulate
SP3	UBC	regulatory	regulate
SP3	CYP27A1	regulatory	regulate
SP3	MYH7	regulatory	regulate
SP3	F2R	regulatory	regulate
SP3	CFLAR	regulatory	regulate
SP3	BCL2	regulatory	regulate
SP3	PLAU	regulatory	regulate
SP3	HIF1A	regulatory	regulate
SP3	VEGFA	regulatory	regulate
SP3	FLT1	regulatory	regulate
SP3	SERPINE1	regulatory	regulate
SP3	HMOX1	regulatory	regulate
SP3	CDKN1A	regulatory	regulate
SP3	CDKN1B	regulatory	regulate
SP3	CCND1	regulatory	regulate
SP3	CDKN2B	regulatory	regulate
SP3	CDKN2D	regulatory	regulate
SP3	FASLG	regulatory	regulate
SP3	TP53	regulatory	regulate
SP3	IGFBP3	regulatory	regulate
SP3	BIRC5	regulatory	regulate
SP3	CDKN2A	regulatory	regulate
SP3	FOSL1	regulatory	regulate
SP3	NOS1	regulatory	regulate
SP3	ID4	regulatory	regulate
SP3	IL12RB2	regulatory	regulate
SP3	FOXP3	regulatory	regulate
SP3	CYP17A1	regulatory	regulate
SP3	HSD3B2	regulatory	regulate
SP3	HSD3B1	regulatory	regulate
SP3	HSD17B2	regulatory	regulate
SP3	AKR1C3	regulatory	regulate
SP3	HSD17B1	regulatory	regulate
SP3	LHCGR	regulatory	regulate
SP3	ESR1	regulatory	regulate
SP3	MMP2	regulatory	regulate
SP3	COL1A1	regulatory	regulate
SP3	COL1A2	regulatory	regulate
SP3	NR5A2	regulatory	regulate
SP3	SCNN1G	regulatory	regulate
SP3	ATP1A3	regulatory	regulate
SP3	CXCL1	regulatory	regulate
SP3	CCNA1	regulatory	regulate
SP3	PDGFB	regulatory	regulate
SP3	KLK3	regulatory	express
SP3	FLT4	regulatory	regulate
SP3	TXNRD1	regulatory	regulate
SP3	PDCD4	regulatory	regulate
SP3	PLAUR	regulatory	regulate
SP3	MUC2	regulatory	regulate
SP3	CTSL	regulatory	regulate
SP3	BRCA1	regulatory	regulate
SP3	BTK	regulatory	regulate
SP3	INPPL1	regulatory	regulate
SP3	SLC9A2	regulatory	regulate
SP3	TERT	regulatory	regulate
SP3	E2F1	regulatory	regulate
SP3	POLA1	regulatory	regulate
SP3	PRDM1	regulatory	regulate
SP3	ADRA1D	regulatory	regulate
SP3	ATF3	regulatory	regulate
SP3	C4A	regulatory	regulate
SP3	CALCR	regulatory	regulate
SP3	HMGA1	regulatory	regulate
SP3	HOXB7	regulatory	regulate
SP3	KRT14	regulatory	regulate
SP3	KRT16	regulatory	regulate
SP3	MET	regulatory	regulate
SP3	SOD3	regulatory	regulate
SP3	SP1	regulatory	regulate
SP3	TNNI3	regulatory	regulate
SP3	POLK	regulatory	regulate
SP3	C1GALT1	regulatory	regulate
SP3	XYLT2	regulatory	regulate
SP3	AFAP1L1	regulatory	regulate
SP3	APC	regulatory	regulate
SP3	CDC25B	regulatory	regulate
SP3	CETP	regulatory	regulate
SP3	CYP26A1	regulatory	regulate
SP3	EGFR	regulatory	regulate
SP3	MUC4	regulatory	regulate
SP3	MYCN	regulatory	regulate
SP3	NKX2-1	regulatory	regulate
SP3	CITED2	regulatory	regulate
SP3	PHOX2A	regulatory	regulate
SP3	CRMP1	regulatory	regulate
SP3	LCAT	regulatory	regulate
SP3	PADI2	regulatory	regulate
SP3	TYMP	regulatory	regulate
SP3	FN1	regulatory	regulate
SP3	HSPA5	regulatory	regulate
SP3	LOR	regulatory	regulate
SP3	LTC4S	regulatory	regulate
SP3	MXD1	regulatory	regulate
SP3	SLC19A1	regulatory	regulate
SP3	SLC20A1	regulatory	regulate
SP3	SSTR2	regulatory	regulate
SP3	TOP2A	regulatory	regulate
SP3	UGT8	regulatory	regulate
SP3	EDF1	regulatory	regulate
SP3	ELMO3	regulatory	regulate
SP3	ASNS	regulatory	regulate
SP3	HDAC4	regulatory	regulate
SP3	AXL	regulatory	regulate
SP3	COL2A1	regulatory	regulate
SP3	EEF1A1	regulatory	regulate
SP3	FTH1	regulatory	regulate
SP3	GAST	regulatory	regulate
SP3	ITGA5	regulatory	regulate
SP3	LAMC2	regulatory	regulate
SP3	NOX4	regulatory	regulate
SP3	SLC47A1	regulatory	regulate
SP3	STAT1	regulatory	regulate
SP3	PGR	regulatory	regulate
SP3	CASR	regulatory	regulate
SP3	ENPP2	regulatory	regulate
SP3	DLC1	regulatory	regulate
SP3	ABCA2	regulatory	regulate
SP3	COL11A2	regulatory	regulate
SP3	CYP3A7	regulatory	regulate
SP3	ACE	regulatory	regulate
SP3	IVL	regulatory	regulate
SP3	LDLR	regulatory	regulate
SP3	LTB	regulatory	regulate
SP3	TERC	regulatory	regulate
SP3	TIMP2	regulatory	regulate
SP3	AKR1C1	regulatory	regulate
SP3	IRS2	regulatory	regulate
SP3	TNIP1	regulatory	regulate
SP3	CYP51A1	regulatory	regulate
SP3	VIM	regulatory	regulate
SP3	EXO1	regulatory	regulate
SP3	FGF21	regulatory	regulate
SP3	MMP28	regulatory	regulate
SP3	CHI3L1	regulatory	regulate
SP3	IGFBP4	regulatory	regulate
SP3	RET	regulatory	regulate
SP3	KDM5B	regulatory	regulate
SP3	CD2AP	regulatory	regulate
SP3	CDH2	regulatory	regulate
SP3	IRF3	regulatory	regulate
SP3	CA9	regulatory	regulate
SP3	KDR	regulatory	regulate
SP3	TGFBR2	regulatory	regulate
SP3	CYP24A1	regulatory	regulate
SP3	ITGB3	regulatory	regulate
SP3	RASSF1	regulatory	regulate
SP3	DNMT3A	regulatory	regulate
SP3	DNMT3B	regulatory	regulate
SP3	CBS	regulatory	regulate
SP3	CDKN2C	regulatory	regulate
SP3	DHFR	regulatory	regulate
SP3	FBLN1	regulatory	regulate
SP3	HTR7	regulatory	regulate
SP3	KISS1	regulatory	regulate
SP3	PLD1	regulatory	regulate
SP3	SP3	regulatory	regulate
SP3	UTRN	regulatory	regulate
SP3	PDPN	regulatory	regulate
SP3	SLC9A8	regulatory	regulate
SP3	CENPH	regulatory	regulate
SP3	G6PD	regulatory	regulate
SP3	GJB2	regulatory	regulate
SP3	SLC6A3	regulatory	regulate
SP3	TFAP2C	regulatory	regulate
SP3	TCN2	regulatory	regulate
SP3	TNFSF14	regulatory	regulate
SP3	TNFSF9	regulatory	regulate
SP3	IL21R	regulatory	regulate
SP3	APOBEC3G	regulatory	regulate
SP3	BSG	regulatory	regulate
SP3	CIDEA	regulatory	regulate
SP3	DKC1	regulatory	regulate
SP3	HSD11B2	regulatory	regulate
SP3	IL2RB	regulatory	regulate
SP3	ITGB8	regulatory	regulate
SP3	MAOB	regulatory	regulate
SP3	NQO2	regulatory	regulate
SP3	POR	regulatory	regulate
SP3	SLC9A3	regulatory	regulate
SP3	GDF15	regulatory	regulate
SP3	PTGES	regulatory	regulate
SP3	CYP46A1	regulatory	regulate
SP3	C1GALT1C1	regulatory	regulate
SP3	GLTP	regulatory	regulate
SP3	RAB20	regulatory	regulate
SP3	SLC39A8	regulatory	regulate
SP3	ULBP1	regulatory	regulate
SP3	SLC2A10	regulatory	regulate
SP3	CENPW	regulatory	regulate
SP3	CIDEB	regulatory	regulate
SP3	NGB	regulatory	regulate
SP3	SMPD3	regulatory	regulate
SP3	TNC	regulatory	regulate
SP3	DLX3	regulatory	regulate
SP3	PCYT2	regulatory	regulate
SP3	SCT	regulatory	regulate
SP3	TFF1	regulatory	regulate
SP3	ITGAX	regulatory	regulate
SP3	NRP1	regulatory	regulate
SP3	HPSE	regulatory	regulate
SP3	GNAI2	regulatory	regulate
SP3	ITGA9	regulatory	regulate
SP3	CGB5	regulatory	regulate
SP3	HAND1	regulatory	regulate
SP3	BGLAP	regulatory	regulate
SP3	IP6K2	regulatory	regulate
SP3	PREX1	regulatory	regulate
SP3	TGM4	regulatory	regulate
SP3	ABCC10	regulatory	regulate
SP3	PAPSS2	regulatory	regulate
SP3	ABCG2	regulatory	regulate
SP3	PROCR	regulatory	regulate
SP3	XYLT1	regulatory	regulate
SP3	MIR885	regulatory	regulate
SP3	CAPNS1	regulatory	regulate
SP3	DNASE2	regulatory	regulate
SP3	MAT2B	regulatory	regulate
SP3	PDF	regulatory	regulate
SP3	SLC23A2	regulatory	regulate
SP3	P2RX1	regulatory	regulate
SP3	SLC1A3	regulatory	regulate
SP3	GRAP2	regulatory	regulate
SP3	BPI	regulatory	regulate
SP3	TGFBI	regulatory	regulate
SP3	ASPH	regulatory	regulate
SP3	CCR7	regulatory	regulate
SP3	HMGA2	regulatory	regulate
SP3	BGN	regulatory	regulate
SP3	ADGRE5	regulatory	regulate
SP3	NEU3	regulatory	regulate
SP3	SOX18	regulatory	regulate
SP3	ALOX12	regulatory	regulate
SP3	CDC25C	regulatory	regulate
SP3	FGFR4	regulatory	regulate
SP3	PADI4	regulatory	regulate
SP3	HGF	regulatory	regulate
SP3	ITGAV	regulatory	regulate
SP3	NCF2	regulatory	regulate
SP3	CXCL5	regulatory	regulate
SP3	TFF2	regulatory	regulate
SP3	TLR2	regulatory	regulate
SP3	PROS1	regulatory	regulate
SP3	LAT	regulatory	regulate
SP3	HAS2	regulatory	regulate
SP3	ALPI	regulatory	regulate
SP3	LUM	regulatory	regulate
SP3	CYP4B1	regulatory	regulate
SP3	ITGA11	regulatory	express
SP3	FCGRT	regulatory	regulate
SP3	CNMD	regulatory	regulate
SP3	ABCC6	regulatory	regulate
SP3	CYB5A	regulatory	regulate
SP3	CYP3A4	regulatory	regulate
SP3	MAP3K12	regulatory	regulate
SP3	SLC19A3	regulatory	regulate
SP3	ITGAD	regulatory	regulate
SP3	TSPO	regulatory	regulate
SP3	PADI3	regulatory	regulate
SP3	CEACAM6	regulatory	regulate
SP3	AICDA	regulatory	regulate
SP3	OPN1LW	regulatory	regulate
SP3	SGPL1	regulatory	regulate
SP3	SLC52A3	regulatory	regulate
SP3	SCGB2A1	regulatory	regulate
SP3	HDC	regulatory	regulate
SP3	CYP7B1	regulatory	regulate
SP3	GP5	regulatory	regulate
SP3	FOLR3	regulatory	regulate
SP3	SCTR	regulatory	regulate
SP3	CYP2F1	regulatory	regulate
SP3	PLA2G7	regulatory	regulate
SP3	MC4R	regulatory	regulate
LHX3	ISL1	signaling	activate
LHX3	ISL2	signaling	activate
KEAP1	NFE2L2	signaling	inhibit
TICAM1	IKBKB	signaling	activate
TICAM1	IRF7	signaling	activate
TICAM1	TRAF6	signaling	activate
TICAM1	IRF3	signaling	activate
TICAM1	TRAF3	signaling	activate
TICAM1	RIPK3	signaling	activate
TICAM1	RIPK1	signaling	activate
TICAM1	TBK1	signaling	activate
VHL	HIF1A	signaling	inhibit
GH1	GHR	signaling	activate
GH1	PRLR	signaling	activate
TNFSF9	TNFRSF9	signaling	activate
IL21R	STAT3	signaling	activate
IL21R	JAK3	signaling	activate
IL21R	JAK1	signaling	activate
SLC25A5	CYCS	signaling	activate
CHRNB4	JAK2	signaling	activate
IL2RB	PIK3CB	signaling	activate
IL2RB	PIK3CA	signaling	activate
IL2RB	PIK3R1	signaling	activate
IL2RB	PIK3R2	signaling	activate
IL2RB	STAT5A	signaling	activate
IL2RB	PIK3R3	signaling	activate
IL2RB	JAK2	signaling	activate
IL2RB	JAK1	signaling	activate
IL2RB	PIK3CD	signaling	activate
IL2RB	STAT5B	signaling	activate
IL2RB	JAK3	signaling	activate
IL2RB	SHC1	signaling	activate
ITGB8	PTK2	signaling	activate
ITGB8	SRC	signaling	activate
MAZ	MMP1	regulatory	regulate
MAZ	MYC	regulatory	regulate
MAZ	PTH1R	regulatory	regulate
MAZ	TJP1	regulatory	regulate
MAZ	HTR1A	regulatory	regulate
MAZ	RNASE2	regulatory	regulate
MAZ	FGG	regulatory	regulate
MAZ	CLDN5	regulatory	regulate
MAZ	MAZ	regulatory	regulate
MAZ	TFF1	regulatory	regulate
MAZ	OCLN	regulatory	regulate
MAZ	PLCL1	regulatory	regulate
RPL10	YES1	signaling	inhibit
RPL10	JUN	signaling	inhibit
ADAM17	TNF	regulatory	express
ADAM17	NOTCH4	signaling	activate
ADAM17	NOTCH2	signaling	activate
ADAM17	HBEGF	signaling	activate
ADAM17	NOTCH1	signaling	activate
ADAM17	NOTCH3	signaling	activate
ADAM17	NOTCH	signaling	activate
ADAM17	MUC1	signaling	inhibit
SF1	FUS	signaling	inhibit
SF1	EWSR1	signaling	inhibit
SIRT1	FOS	regulatory	repress
SIRT1	TH	regulatory	regulate
SIRT1	NFKB1	signaling	inhibit
SIRT1	BAX	signaling	inhibit
SIRT1	FOXO3	signaling	inhibit
SIRT1	PPARG	signaling	inhibit
SIRT1	PPARGC1A	signaling	activate
SIRT1	FOXO1	signaling	activate
SIRT1	TP53	signaling	inhibit
SIRT1	RELA	signaling	inhibit
SIRT1	SMAD7	signaling	inhibit
SIRT1	FOXO	signaling	activate
SIRT1	NOTCH1	signaling	inhibit
SIRT1	CRTC1	signaling	activate
SIRT1	FOXO4	signaling	activate
SIRT1	EP300	signaling	inhibit
SIRT1	FOXL2	signaling	inhibit
BRK1	NHS	signaling	activate
PDGFC	FGFR2	signaling	activate
PDGFC	KDR	signaling	activate
PDGFC	NTRK2	signaling	activate
PDGFC	PDGFRA	signaling	activate
PDGFC	PDGFRB	signaling	activate
PDGFC	TEK	signaling	activate
PDGFC	INSR	signaling	activate
PDGFC	FLT4	signaling	activate
PDGFC	FLT1	signaling	activate
PDGFC	EGFR	signaling	activate
PDGFC	MET	signaling	activate
PDGFC	IGF1R	signaling	activate
PDGFC	NGFR	signaling	activate
PDGFC	FGFR3	signaling	activate
PDGFC	FGFR4	signaling	activate
PDGFC	KIT	signaling	activate
PDGFC	EPHA2	signaling	activate
PDGFC	ERBB2	signaling	activate
PDGFC	CSF1R	signaling	activate
PDGFC	INSRR	signaling	activate
PDGFC	FLT3	signaling	activate
PDGFC	NTRK1	signaling	activate
PDGFC	FGFR1	signaling	activate
ULBP1	KLRC4-KLRK1	signaling	activate
ULBP1	KLRK1	signaling	activate
VAV1	ITGAM	regulatory	regulate
VAV1	RAC2	signaling	activate
VAV1	RHOA	signaling	activate
VAV1	RAC3	signaling	activate
VAV1	CDC42	signaling	activate
VAV1	RAC1	signaling	activate
VAV1	GRAP	signaling	activate
VAV1	SYK	signaling	activate
VAV1	GRB2	signaling	activate
VAV1	CBL	signaling	activate
TNFSF13	TNFRSF17	signaling	activate
TNFSF13	TNFRSF13B	signaling	activate
ITGAX	SRC	signaling	activate
HBEGF	HBEGF	signaling	activate
HBEGF	EGFR	signaling	activate
HBEGF	ERBB4	signaling	activate
ITGA9	SRC	signaling	activate
PREX1	RAC1	signaling	activate
PREX1	RAC2	signaling	activate
ANK1	ITPR2	signaling	activate
ANK1	ITPR3	signaling	activate
ANK1	ITPR1	signaling	activate
MC1R	GNAS	signaling	activate
EPOR	JAK1	signaling	activate
EPOR	JAK3	signaling	activate
EPOR	JAK2	signaling	activate
FCGR3A	MAPK14	signaling	activate
FCGR3A	MAPK12	signaling	activate
FCGR3A	PTGS2	signaling	activate
FCGR3A	MAPK11	signaling	activate
FCGR3A	MAPK13	signaling	activate
RELN	VLDLR	signaling	activate
PTX3	CFH	signaling	activate
FBN1	TGFB1	regulatory	express
FBN1	EFEMP2	signaling	inhibit
FBN1	FBLN5	signaling	inhibit
LTA	TNFRSF14	signaling	activate
LTA	TNFRSF1A	signaling	activate
LTA	LTBR	signaling	activate
LTA	TNFRSF1B	signaling	activate
CD3G	CASP8	signaling	activate
CD3G	PIK3CD	signaling	activate
CD3G	PIK3CB	signaling	activate
CD3G	PIK3CA	signaling	activate
CD3G	MAP3K3	signaling	activate
CD3G	PIK3R1	signaling	activate
CD3G	PIK3R2	signaling	activate
CD3G	PIK3R3	signaling	activate
CCR7	GNAI1	signaling	activate
CCR7	GNAI2	signaling	activate
CCR7	JAK3	signaling	activate
CCR7	JAK2	signaling	activate
CCR7	GNAI3	signaling	activate
HMGA2	BCL2A1	regulatory	regulate
HMGA2	SOX2	regulatory	regulate
HMGA2	IFNB1	regulatory	regulate
HMGA2	CCNA2	regulatory	regulate
HMGA2	MIR10B	regulatory	regulate
HMGA2	MIR603	regulatory	regulate
HMGA2	TWIST1	regulatory	regulate
HMGA2	E4F1	signaling	inhibit
CCK	CCKAR	signaling	activate
CCK	CCKBR	signaling	activate
PROC	SERPINE1	signaling	inhibit
PROC	F8	signaling	inhibit
PROC	F5	signaling	inhibit
PROC	SERPINB2	signaling	inhibit
PROC	F2R	signaling	activate
TARBP2	DICER1	signaling	activate
MIR365A	IL6	regulatory	regulate
MIR365A	BCL2	regulatory	regulate
MIR365A	CCND1	regulatory	regulate
MIR365A	MYBL2	regulatory	regulate
MIR365A	NKX2-1	regulatory	regulate
MIR365A	ACVR1	regulatory	regulate
MIR365A	NFIB	regulatory	regulate
ITGAV	RELA	signaling	activate
ITGAV	NFKB1	signaling	activate
ITGAV	SRC	signaling	activate
ADORA2A	GNAS	signaling	activate
ADORA2A	GNAQ	signaling	activate
ADORA2A	GNAL	signaling	activate
CXCL5	CXCR2	signaling	activate
TCL1A	AKT2	signaling	activate
TCL1A	AKT3	signaling	activate
TCL1A	AKT1	signaling	activate
TCL1A	AKT	signaling	activate
