Pyridoxal Phosphate	SHMT2|PDXP|SPTLC1|SRR|SPTLC3|MOCOS|NFS1|GPT|SGPL1|OAT|CCBL1|PYGM|FTCD|AADAT|DDC|KYNU|PROSC|SEPSECS|CTH|SHMT1|TAT|PDXDC1|PSAT1|ADC|AGXT2|CBS|ODC1|CSAD|GADL1|GAD1|ABAT|HDC|GLDC|BCAT1|SDS|GPT2|PHYKPL|SPTLC2|GOT2|GOT1|GCAT|CCBL2|THNSL1|ALAS1|PYGB|IGSF10|SCLY|BCAT2|PNPO|SDSL|PYGL|AGXT
Thiamine	TPK1|SLC19A2
Pyrithiamine Pyrophosphate	TPK1
Bevacizumab	C1QB|VEGFA|FCGR1A|C1QC|C1QA|FCGR3B|C1R|FCGR2A|FCGR2B|FCGR3A
Gliclazide	VEGFA|ABCC8
Ranibizumab	VEGFA
Pyroglutamic Acid	ANG|VEGFA|AMY2B|TFF2|KRTAP5-2|ADAM28|AMY1C|CCL8|AMY2A|HCRT
Vandetanib	EGFR|VEGFA|PTK6|TEK
ABT-510	VEGFA|IL8|FGF2|HGF
VEGF-AS	VEGFA
Dalteparin	TFPI|VEGFA|SELP|SERPINC1
Aflibercept	VEGFA|VEGFB|PGF
Desmopressin	AVPR2|AVPR1B|AVPR1A
Vasopressin	AVPR2|AVPR1B|AVPR1A
Felypressin	AVPR1A
Conivaptan	AVPR2|AVPR1A
Terlipressin	AVPR2|AVPR1B|AVPR1A
PH-284	AVPR1B|AVPR1A
Tolvaptan	AVPR2|AVPR1A
Bleomycin	LIG1|LIG3
1,4-Dithiothreitol	AXIN1|ALDH1A1|CAMK2A|GSTZ1|MSRA|HMGCR|PPIB|LGALS1|TRPM7|TPI1
Esmolol	ADRB1
Betaxolol	ADRB2|ADRB1
Isoetarine	ADRB2|ADRB1
Metoprolol	ADRB2|ADRB1
Atenolol	ADRB2|ADRB1
Mirtazapine	ADRA2C|DRD5|SLC6A4|OPRK1|DRD1|HTR2A|HRH1|SLC6A2|HRH3|ADRA1D|ADRB1|HTR7|HTR3A|HTR2C|ADRA1A|ADRA1B|HTR2B|DRD2|DRD3|ADRB2|ADRA2A|SLC6A3
Timolol	ADRB2|ADRB1
Carteolol	ADRB2|ADRB1
Propranolol	ADRB2|HTR1B|HTR1A|ADRB1|ADRB3
Labetalol	ADRA1A|ADRB2|ADRA1B|ADRA1D|ADRB1
Bisoprolol	ADRB2|ADRB1
Epinephrine	ADRA1A|ADRB2|ADRA1B|ADRA2C|TNF|ADRA2A|ADRA1D|ADRA2B|ADRB1|ADRB3|PAH
Dobutamine	ADRB2|ADRB1
Pseudoephedrine	ADRA1A|SLC6A2|ADRB2|ATF7|JUN|ATF2|IL2|FOS|ATF6|TNF|SLC6A3|ADRA2A|ADRB1|SLC6A4|ATF3|JDP2|NFATC1|ATF4|ATF1|ATF5
Alprenolol	HTR1A|ADRB2|ADRB1
Pindolol	HTR1B|HTR1A|ADRB2|ADRB1
Salbutamol	ADRB2|ADRB1
Isoprenaline	MAPK1|PIK3R3|ADRB2|PIK3R1|PIK3R2|ADRB1|ADRB3
Arbutamine	ADRB3|ADRB2|ADRB1
Acebutolol	ADRB2|ADRB1
Nadolol	ADRB2|ADRB1
Levobunolol	ADRB2|ADRB1
Metipranolol	ADRB2|ADRB1
Fenoterol	ADRB3|ADRB2|ADRB1
Pirbuterol	ADRB2|ADRB1
Bevantolol	ADRA1A|ADRB2|ADRB1
Practolol	ADRB1
Penbutolol	HTR1B|HTR1A|ADRB2|ADRB1
Clenbuterol	ADRB2|NGF|TNF|ADRB1|ADRB3
Oxprenolol	ADRB2|ADRB1
Celiprolol	ADRB2|ADRB1
Nebivolol	ADRB2|ADRB1
Droxidopa	ADRA1A|ADRB2|ADRA1B|ADRA2C|ADRA1D|ADRA2A|ADRA2B|ADRB1|ADRB3|PAH
4-{[(2S)-3-(tert-butylamino)-2-hydroxypropyl]oxy}-3H-indole-2-carbonitrile	ADRB1
2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL	LCT|ADRB1
Bopindolol	ADRB2|HTR1B|HTR1A|ADRB1|ADRB3
Bupranolol	ADRB3|ADRB2|ADRB1
Vortioxetine	HTR1B|HTR1A|SLC6A4|ADRB1|HTR7|HTR3A
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol	UQCRFS1|SDHC|UQCRH|UQCRB|CYC1|UQCRQ|UQCRC1|UQCRC2|UQCR10|CYTB|SDHA|ETFDH|SDHD|SDHB|ABO
Carboxin	SDHA
Thenoyltrifluoroacetone	SDHA|CES1
UBIQUINONE-1	SDHA|SDHB|SDHC|SDHD
Lidocaine	EGFR|SCN10A|SCN5A|SCN9A
Ropivacaine	SCN10A
Hexylcaine	SCN10A|SCN5A
Cinchocaine	SCN10A|CALM3|SCN5A
Dyclonine	SCN10A
Procaine	KCNN2|MAOA|KCNMB4|GRIN3A|KCNMB3|KCNN1|SCN10A|KCNMA1|KCNMB2|SLC6A3|KCNN4|MAOB|KCNN3|CHRNA2|KCNMB1|HTR3A
Proparacaine	SCN10A
Oxybuprocaine	SCN10A
Mepivacaine	SCN10A
Levobupivacaine	SCN10A
Benzocaine	SCN10A
Chloroprocaine	GRIN3A|SCN10A|SLC6A3|CHRNA10|HTR3A
Orphenadrine	SLC6A2|GRIN3A|GRIN1|GRIN2D|SCN10A|GRIN3B|HRH1
Lacosamide	SCN10A|SCN3A|SCN9A
Perhexiline	CPT2|CPT1A
Hexachlorophene	SDHD|GLUD1
Guanosine-5'-Triphosphate	RAP2A|RHEB|RAB5A|ADSSL1|PFKFB1|UCKL1|RND3|HRAS|ARF1|GLUD1
Beta-Mercaptoethanol	GLO1|SCMH1|LGALS1|PNPO|SERPINA1
Sildenafil	PDE6H|PDE5A|PDE6G
Tadalafil	PDE5A|PDE11A
Vardenafil	PDE6H|PDE5A|PDE6G
Dipyridamole	ADA|PDE5A|PDE10A|PDE4A
Guanosine-5'-Monophosphate	HINT1|ATIC|GUK1|DLG4|PDE5A|GMPR|TGM3
Gamma-Glutamyl[S-(2-Iodobenzyl)Cysteinyl]Glycine	GSTM4|PDE9A|PDE5A
OSI-461	PDE5A
Avanafil	PDE5A
Udenafil	PDE5A
3-ISOBUTYL-1-METHYLXANTHINE	PDE4D|PDE2A|PDE9A|PDE7A|PDE8A|PDE5A|PDE3B|PDE6G
5-ethoxy-4-(1-methyl-7-oxo-3-propyl-6,7-dihydro-1H-pyrazolo[4,3-d]pyrimidin-5-yl)thiophene-2-sulfonamide	PDE5A
Epratuzumab	CD22
Glutathione	LTC4S|GPX5|GSTA1|GSTM5|HPGDS|GPX8|GPX3|GPX4|GSTA3|GSTK1|HAGH|MGST3|GPX2|GSTA2|GPX1|GSTP1|GLRX|GSTT1|GLO1|GGT1|GLRX2|GSTZ1|GSTM2|GSR|GSS|TXNDC12|GSTO2|GSTA5|MGST1|GSTM1|GSTM4|GPX7|GSTM3|ESD|GSTA4|GPX6|MGST2|GSTO1
Gamma-Glutamylcysteine	GSS
Phosphoaminophosphonic Acid-Adenylate Ester	GSK3B|TOP2B|EPHB2|VCP|CCT3|CSNK2A1|DAPK1|KIF2C|DTYMK|HK1|IGF1R|PFKFB4|LCK|GALK1|PIM1|GSS|RAD51|KIF1A|CFTR|ACTA1|SRPK2|EPHA2|MAPK12|ITPKA|MAPK10|TRPM7
L-Aspartic Acid	SLC25A13|GOT2|GOT1|ASS1|SLC25A12|ADSS|ASNS|ASRGL1|LYZ|SLC1A1|PAICS|ADSSL1|RNASE1|ACY1|ASPH|DARS|CAD|ASPA|DARS2|ACY3
'5'-O-(N-(L-Prolyl)-Sulfamoyl)Adenosine	EPRS
5'-O-(N-(L-Cysteinyl)-Sulfamoyl)Adenosine	EPRS
'5'-O-(N-(L-Alanyl)-Sulfamoyl)Adenosine	EPRS
Phosphatidylserine	SCARB1|SMPD3|ATP8A1|PTDSS1|PRKCA|PISD|DGKG|DGKD|PTDSS2|SMPD4
Androstanedione	HSD17B1
Equilin	HSD17B1
EM-1745	HSD17B1
Indecainide	SCN5A
Ranolazine	SCN5A|SCN9A
Mexiletine	SCN5A|AHR
Mephenytoin	SCN5A
Carbamazepine	SCN5A
Moricizine	SCN5A
Prilocaine	SCN5A
Ethotoin	SCN5A
Oxcarbazepine	SCN5A
Benzonatate	SCN5A
Procainamide	DNMT1|SCN5A
Tocainide	SCN5A
Flecainide	SCN5A|SCN4A
Encainide	SCN5A
Fosphenytoin	SCN5A
Ajmaline	SCN5A
Aprindine	CALM3|SCN5A
Leuprolide	GNRHR
Abarelix	GNRHR
Gonadorelin	GNRHR
Nafarelin	GNRHR
NBI-56418	GNRHR
Degarelix	GNRHR
Ganirelix	GNRHR
Triptorelin	GNRHR
L-Leucine	LARS|BCAT2|LCMT2|BCAT1|LCMT1|LARS2
Becaplermin	A2M|PDGFRA|PDGFRB
XL820	PDGFRA|KDR|KIT|PDGFRB
TTNPB	RARB
Tamibarotene	RARB|RARA
Glimepiride	KCNJ11|KCNJ1|ABCC8
Chlorpropamide	ABCC8
Nateglinide	PPARG|ABCC8
Repaglinide	PPARG|ABCC8
Glipizide	PPARG|ABCC8
Tolbutamide	KCNJ1|ABCC8
Gliquidone	KCNJ8|ABCC8
Mitiglinide	PPARG|ABCC8
Glycodiazine	KCNJ1|ABCC8
Alteplase	SERPINE1|PLG|FGA|PLAUR
Urokinase	ST14|SERPINB2|PLAUR|PLAT|SERPINE1|NID1|PLG|LRP2|SERPINA5|PLAU
Reteplase	SERPINE1|PLG|FGA|PLAUR
Anistreplase	SERPINE1|PLG|FGA|PLAUR
Tenecteplase	CANX|FGA|KRT8|LRP1|SERPINB2|ANXA2|PLAUR|SERPINE1|PLG|CLEC3B|CALR
Streptokinase	F2R|PLG
Tranexamic Acid	PLG
Aminocaproic Acid	PLG|PLAT
Bicine	PLG
Desmoteplase	PLG
Aprotinin	KLK1|PLG|PRSS1
Uridine-Diphosphate-N-Acetylgalactosamine	UAP1|GALE|EXTL2|ABO
Uridine-5'-Diphosphate	CMPK1|B3GAT1|B3GAT3|GLT6D1|EXTL2|ABO|GYG1
Uridine Diphosphate Galactose	GALE|B4GALT1|ABO
2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol	ABO
H TYPE II TRISACCHARIDE	ABO
H TYPE I TRISACCHARIDE	ABO
GALACTOSE GREASE	ABO
BETA-METHYLLACTOSIDE	ABO
octyl 3-amino-3-deoxy-2-O-(2,6-dideoxy-alpha-L-lyxo-hexopyranosyl)-beta-D-galactopyranoside	ABO
4-AMINO-2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL	ABO
4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL	ABO
octyl 3-deoxy-2-O-(6-deoxy-alpha-L-galactopyranosyl)-beta-D-xylo-hexopyranoside	ABO
Troglitazone	ESRRA|ACSL4|SLC29A1|PPARG|SERPINE1|ESRRG
Rosiglitazone	ACSL4|PPARG
Pioglitazone	PPARG
(S)-3-(4-(2-Carbazol-9-Yl-Ethoxy)-Phenyl)-2-Ethoxy-Propionic Acid	PPARG
2-{5-[3-(6-BENZOYL-1-PROPYLNAPHTHALEN-2-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID	PPARG
T131	PPARG
CLX-0921	PPARG
(2S)-3-(1-{[2-(2-CHLOROPHENYL)-5-METHYL-1,3-OXAZOL-4-YL]METHYL}-1H-INDOL-5-YL)-2-ETHOXYPROPANOIC ACID	NCOA1|PPARG
(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid	PPARG
2-{5-[3-(7-PROPYL-3-TRIFLUOROMETHYLBENZO[D]ISOXAZOL-6-YLOXY)PROPOXY]INDOL-1-YL}ETHANOIC ACID	PPARG
(4S,5E,7Z,10Z,13Z,16Z,19Z)-4-hydroxydocosa-5,7,10,13,16,19-hexaenoic acid	PPARG
(5R,6E,8Z,11Z,14Z,17Z)-5-hydroxyicosa-6,8,11,14,17-pentaenoic acid	PPARG
(8E,10S,12Z)-10-hydroxy-6-oxooctadeca-8,12-dienoic acid	PPARG
(8R,9Z,12Z)-8-hydroxy-6-oxooctadeca-9,12-dienoic acid	PPARG
(9S,10E,12Z)-9-hydroxyoctadeca-10,12-dienoic acid	PPARG
difluoro(5-{2-[(5-octyl-1H-pyrrol-2-yl-kappaN)methylidene]-2H-pyrrol-5-yl-kappaN}pentanoato)boron	PPARG
(2S)-2-ETHOXY-3-{4-[2-(10H-PHENOXAZIN-10-YL)ETHOXY]PHENYL}PROPANOIC ACID	PPARG
3-(5-methoxy-1H-indol-3-yl)propanoic acid	PPARG
(2S)-2-(4-ethylphenoxy)-3-phenylpropanoic acid	PPARG
2-chloro-5-nitro-N-phenylbenzamide	NCOA2|PPARG|RXRA
(2S)-2-(biphenyl-4-yloxy)-3-phenylpropanoic acid	PPARG
3-[5-(2-nitropent-1-en-1-yl)furan-2-yl]benzoic acid	PPARG
2-[(2,4-DICHLOROBENZOYL)AMINO]-5-(PYRIMIDIN-2-YLOXY)BENZOIC ACID	NCOA2|PPARG|RXRA
(5E,14E)-11-oxoprosta-5,9,12,14-tetraen-1-oic acid	PPARG
3-FLUORO-N-[1-(4-FLUOROPHENYL)-3-(2-THIENYL)-1H-PYRAZOL-5-YL]BENZENESULFONAMIDE	PPARG
(2S)-2-(4-chlorophenoxy)-3-phenylpropanoic acid	PPARG
Antihemophilic Factor (Recombinant)	CANX|F10|PHYH|F9|MCFD2|LRP1|ASGR2|VWF|LMAN1|HSPA5|CALR
Coagulation factor VIIa	F10|GGCX|F7|TFPI|F3|HPN
Fondaparinux sodium	F10|SERPINC1
Heparin	SELP|F10|SERPINC1
Enoxaparin	F10|SERPINC1
4-[(5-CHLOROINDOL-2-YL)SULFONYL]-2-(2-METHYLPROPYL)-1-[[5-(PYRIDIN-4-YL)PYRIMIDIN-2-YL]CARBONYL]PIPERAZINE	F10
SSR-126517E	F10
LY-517717	F10
Rivaroxaban	F10
Apixaban	F10
(2R,4R)-N~1~-(4-CHLOROPHENYL)-N~2~-[2-FLUORO-4-(2-OXOPYRIDIN-1(2H)-YL)PHENYL]-4-METHOXYPYRROLIDINE-1,2-DICARBOXAMIDE	F10
THIENO[3,2-B]PYRIDINE-2-SULFONIC ACID [1-(1-AMINO-ISOQUINOLIN-7-YLMETHYL)-2-OXO-PYRROLDIN-3-YL]-AMIDE	F10
2-({4-[(5-CHLORO-1H-INDOL-2-YL)SULFONYL]PIPERAZIN-1-YL}CARBONYL)THIENO[3,2-B]PYRIDINE 4-OXIDE	F10
N-((1R,2S)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE	F10
N-((1R,2R)-2-(5-CHLORO-1H-INDOLE-2-CARBOXAMIDO)CYCLOHEXYL)-5-METHYL-4,5,6,7-TETRAHYDROTHIAZOLO[5,4-C]PYRIDINE-2-CARBOXAMIDE	F10
N-(2-(((5-CHLORO-2-PYRIDINYL)AMINO)SULFONYL)PHENYL)-4-(2-OXO-1(2H)-PYRIDINYL)BENZAMIDE	F10
5-(5-CHLORO-2-THIENYL)-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1H-1,2,4-TRIAZOLE-3-SULFONAMIDE	F10
5-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1-BENZOTHIOPHENE-2-SULFONAMIDE	F10
6-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-OXOETHYL]-2-OXOPYRROLIDIN-3-YL}-1-BENZOTHIOPHENE-2-SULFONAMIDE	F10
6-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-(4-MORPHOLINYL)-2-OXO ETHYL]-2-OXO-3-PYRROLIDINYL}-2-NAPHTHALENESULFONAMIDE	F10
5-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-5-CHLORO-N-{(3S)-1-[(1S)-1-METHYL-2-MORPHOLIN-4-YL-2-SULFONAMIDE	F10
5-chloro-N-[(3R)-1-(2-{[2-fluoro-4-(2-oxopyridin-1(2H)-yl)phenyl]amino}-2-oxoethyl)pyrrolidin-3-yl]thiophene-2-carboxamide	F10
5-Chloro-thiophene-2-carboxylic acid ((3S,4S)-1-{[2-fluoro-4-(2-oxo-2H-pyridin-1-yl)-phenylcarbamoyl]-methyl}-4-hydroxy-pyrrolidin-3-yl)-amide	F10
N-(1-ISOPROPYLPIPERIDIN-4-YL)-1-(3-METHOXYBENZYL)-1H-INDOLE-2-CARBOXAMIDE	F10
1-{2-[(4-CHLOROPHENYL)AMINO]-2-OXOETHYL}-N-(1-ISOPROPYLPIPERIDIN-4-YL)-1H-INDOLE-2-CARBOXAMIDE	F10
5-CHLORO-THIOPHENE-2-CARBOXYLIC ACID ((3S,4S)-4-FLUORO- 1-{[2-FLUORO-4-(2-OXO-2H-PYRIDIN-1-YL)-PHENYLCARBAMOYL]-METHYL}-PYRROLIDIN-3-YL)-AMIDE	F10
5-CHLORO-N-(2-(4-(2-OXOPYRIDIN-1(2H)-YL)BENZAMIDO)ETHYL)THIOPHENE-2-CARBOXAMIDE	F10
5-CHLORO-N-((1R,2S)-2-(4-(2-OXOPYRIDIN-1(2H)-YL)BENZAMIDO) CYCLOPENTYL)THIOPHENE-2-CARBOXAMIDE	F10
THIENO[3,2-B]PYRIDINE-2-SULFONIC ACID [2-OXO-1-(1H-PYRROLO[2,3-C]PYRIDIN-2-YLMETHYL)-PYRROLIDIN-3-YL]-AMIDE	F10
5-chloro-N-({(5S)-2-oxo-3-[4-(3-oxomorpholin-4-yl)phenyl]-1,3-oxazolidin-5-yl}methyl)thiophene-2-carboxamide	F10
3-({4-[(6-CHLORO-1-BENZOTHIEN-2-YL)SULFONYL]-2-OXOPIPERAZIN-1-YL}METHYL)BENZENECARBOXIMIDAMIDE	F10
4-{[(E)-2-(5-CHLOROTHIEN-2-YL)VINYL]SULFONYL}-1-(1H-PYRROLO[3,2-C]PYRIDIN-2-YLMETHYL)PIPERAZIN-2-ONE	F10
4-({4-[(6-CHLORO-1-BENZOTHIEN-2-YL)SULFONYL]-2-OXOPIPERAZIN-1-YL}METHYL)BENZENECARBOXIMIDAMIDE	F10
4-[[(1E)-2-(4-CHLOROPHENYL)ETHENYL]SULFONYL]-1-[[1-(4-PYRIDINYL)-4-PIPERIDINYL]METHYL]PIPERAZINONE	F10
1-[[(1E)-2-(4-CHLOROPHENYL)ETHENYL]SULFONYL]-4-[[1-(4-PYRIDINYL)-4-PIPERIDINYL]METHYL]PIPERAZINE	F10
Edoxaban	F10
Baclofen	GABBR2|GABBR1
Progabide	GABRA1|GABBR1
Vigabatrin	GABBR1|ABAT
SGS742	GABBR2|GABBR1
Arbaclofen	GABBR2|GABBR1
Arbaclofen Placarbil	GABBR2|GABBR1
Enflurane	GABRA6|GABRA2|GABRB2|GABRE|KCNN4|GABRA1|GABRD|GABRA5|GABRG2|GABRA4|GABRB3|GLRA1|GABRP|ATP2C1|GRIA1|GLRB|KCNA1|GABRB1|GABRA3|GABRG1|GABRQ|ATP5D|GABRG3
Isoflurane	GABRA6|GABRA2|GABRB2|GABRE|GABRA1|CALM3|GABRD|GABRA5|GABRG2|GABRA4|GABRB3|GLRA1|GABRP|ATP2C1|GRIA1|KCNA1|GABRB1|GABRA3|GABRG1|GABRQ|ATP5D|GABRG3
Methoxyflurane	GABRA6|GABRA2|GABRB2|GABRE|GABRA1|GABRD|GABRA5|GABRG2|GABRA4|GABRB3|GLRA1|GABRP|ATP2C1|GRIA1|KCNA1|GABRB1|GABRA3|GABRG1|GABRQ|ATP5D|ND1|GABRG3
Halothane	GABRA6|GABRA2|RHO|GNG2|GABRB2|GABRE|KCNN4|KCNJ3|GRIN3B|GABRA1|GRIN3A|GABRD|KCNJ6|KCNK3|KCNMA1|GABRA5|GABRG2|GABRA4|GLRA1|GABRB3|GABRP|ATP2C1|KCNK9|GABRB1|GABRA3|NPSR1|GRIN2A|GABRG1|GABRQ|ATP5D|ND1|GABRG3
Desflurane	GABRA6|GABRA2|GABRB2|GABRE|GABRA1|GABRD|GABRA5|GABRG2|GABRA4|GABRB3|GLRA1|GABRP|ATP2C1|GRIA1|KCNA1|GABRB1|GABRA3|GABRG1|GABRQ|ATP5D|ND1|GABRG3
Sevoflurane	GABRA6|GABRA2|GABRB2|GABRE|GABRA1|GABRD|GABRA5|GABRG2|GABRA4|GABRB3|GLRA1|GABRP|ATP2C1|GRIA1|KCNA1|GABRB1|GABRA3|GABRG1|GABRQ|ATP5D|ND1|GABRG3
Calcium	S100B|ATP2C1|COMP|CACNA1C|CALM3|TNNC1|TNNC2|SPTBN1|CAST
L-Asparagine	SLC38A3|ASRGL1|ASNS|SLC1A5|NARS2|NARS
Primaquine	KRT7|NQO2
10-Propargyl-5,8-Dideazafolic Acid	TYMS|NQO2
CB1954	NQO2
(3S)-3-hydroxy-1-methyl-2,3-dihydro-1H-indole-5,6-dione	NQO2
N-[2-(2-iodo-5-methoxy-1H-indol-3-yl)ethyl]acetamide	NQO2
5,8-dimethoxy-1,4-dimethylquinolin-2(1H)-one	NQO2
6-methoxy-9-methyl[1,3]dioxolo[4,5-h]quinolin-8(9H)-one	NQO2
Ramipril	ACE
Fosinopril	ACE
Trandolapril	ACE
Benazepril	ACE
Enalapril	ACE
Candoxatril	MME|ACE
Moexipril	ACE2|ACE
Lisinopril	ACE2|ACE
Perindopril	ACE
Quinapril	ACE
Omapatrilat	MME|ACE
Rescinnamine	ACE
Cilazapril	ACE
Spirapril	ACE
1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid	ACE
2-(Acetylamino)-2-Deoxy-a-D-Glucopyranose	ACHE|GBA|SIGLEC7|ACE
Temocapril	ACE
L-Valine	PCCB|BCAT1|VARS
Fomepizole	CAT|ADH1A|ADH1C|ADH1B
4-Iodopyrazole	ADH1A|ADH1C|ADH1B
N-Cyclopentyl-N-Cyclobutylformamide	ADH1A
L-Tryptophan	WARS|WARS2
Tryptophanyl-5'amp	WARS
L-Tryptophanamide	WARS
Cyclothiazide	CA1|CA4|CA2|FXYD2
L-Tyrosine	TH|YARS|TAT|YARS2
Tyrosinal	YARS
N6-ISOPENTENYL-ADENOSINE-5'-MONOPHOSPHATE	YARS
PARA-(BENZOYL)-PHENYLALANINE	YARS|PTPN1
4-(2,2,2-TRIFLUOROETHYL)-L-PHENYLALANINE	YARS
Implitapide	MTTP
Lomitapide	MTTP
L-Threonine	TARS|TARS2|THNSL1
Hydroxocobalamin	MTR|MUT|MTRR|CUBN|AMN|TCN1|MMAA|MMAB|MMACHC
AST-120	LPL
Tyloxapol	LPL
Plasmin	SERPINE1|PLAU
Mitotane	CYP11B1|FDX1
Rasagiline	MAOB|BCL2
S-8184	TUBA4A|BCL2
DHA-paclitaxel	BCL2
ABT-263	BAD|BCL2L2|BCL2
Masoprocol	ALOX5
Aminosalicylic Acid	ALOX5|PTGS2|PLA2G2E|CHUK
Montelukast	ALOX5|CYSLTR1
Zileuton	ALOX5
Licofelone	ALOX5|PTGS2|PLA2G2E
MLN-977	ALOX5
Tiagabine	SLC6A1
Guvacine	SLC6A12|SLC6A11|SLC6A1|SLC6A13
Cladribine	POLE|POLE3|POLE2|RRM1|PNP|POLA1|RRM2B|POLE4|RRM2
Didanosine	PNP
8-azaguanine	PNP
2,6-Diamino-(S)-9-[2-(Phosphonomethoxy)Propyl]Purine	PNP
Immucillin-G	PNP
Guanine	PNP|GCH1
2-Amino-7-[2-(2-Hydroxy-1-Hydroxymethyl-Ethylamino)-Ethyl]-1,7-Dihydro-Purin-6-One	PNP
Peldesine	PNP
9-Deazainosine	PNP
Guanosine	PNP
Ribose-1-Phosphate	PNP
4'-Deaza-1'-Aza-2'-Deoxy-1'-(9-Methylene)-Immucillin-H, (3r,4r)-N-[9-Deazahypoxanthin-9-Yl)Methyl]-4-Hydroxymethyl-Pyrrolidin-3-Ol	PNP
3-Deoxyguanosine	PNP
MT-Immucillin-H	PNP
Hypoxanthine	PNP
9-(5,5-Difluoro-5-Phosphonopentyl)Guanine	PNP
Inosine	PNP
9-DEAZAINOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE	PNP
GUANOSINE-2',3'-O-ETHYLIDENEPHOSPHONATE	PNP
GUANOSINE-2',3'-O-METHYLIDENEPHOSPHONATE	PNP
Azelaic Acid	AKR1D1|TYR|SRD5A2
Monobenzone	TYR
Mimosine	CCL2|TYR|SHMT1
Phenelzine	MAOA|ABAT|MAOB|GPT|AOC3|GPT2
(4e)-4-Aminohex-4-Enoic Acid	ABAT
4-Amino Hexanoic Acid	ABAT
Metformin	PRKAB1
Palmitic Acid	PMP2|PPT1|SEC14L2|HNF4G|RHO|CYP2C8|LALBA|TRAPPC3|PAEP
6-Aminohexyl-Uridine-C1,5'-Diphosphate	B4GALT1
Di(N-Acetyl-D-Glucosamine)	LYZ|B4GALT1
Uridine-5'-Monophosphate	B4GALT1|GLT6D1|UCKL1|LSM6|ISG20
2-(N-Morpholino)-Ethanesulfonic Acid	SFTPA1|B4GALT1|L3MBTL1|IRGC|GSTP1|ARL3|ACHE|CMA1|PRDX6|QDPR|HSD11B1|ASL|BCHE
Ribavirin	ADK|NT5C2|IMPDH1|ENPP1
Lenalidomide	PTGS2|CDH5|TNFSF11|CRBN
Celecoxib	PTGS2|PDPK1
Rofecoxib	PTGS2|ELN
Valdecoxib	PTGS2
Thalidomide	FGFR2|PTGS2|NFKB1|CRBN|ORM1|ORM2|TNF
Ginseng	PTGS2|IL6|AHR
Etoricoxib	PTGS2
1-Phenylsulfonamide-3-Trifluoromethyl-5-Parabromophenylpyrazole	PTGS2
Prostaglandin G2	PTGS2
Nimesulide	PTGS2|LTF|PLA2G2E
Cimicoxib	PTGS2
Parecoxib	PTGS2|LTF
Pomalidomide	PTGS2|TNF|CRBN
Firocoxib	PTGS2
L-2-Amino-4-(Guanidinooxy)Butyric Acid	NOS3
1,2,4-Triazole-Carboxamidine	NOS3
S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea	NOS3
2-Aminothiazoline	NOS3
Se-Ethyl-Isoselenourea	NOS3
2,4-Diamino-6-Phenyl-5,6,7,8,-Tetrahydropteridine	NOS3
N1,N14-Bis((S-Methyl)Isothioureido)Tetradecane	NOS3
Hydroxydimethylarsine Oxide	NOS3|GNAT1|AKR1B1
7-Nitroindazole-2-Carboxamidine	NOS3
N5-Iminoethyl-L-Ornithine	NOS3
5,6-Cyclic-Tetrahydropteridine	NOS3
S,S'-(1,3-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea	NOS3
6s-5,6,7,8-Tetrahydrobiopterin	NOS3
S-(Dimethylarsenic)Cysteine	NOS3|TLR2|XRCC4|COPG1
L-Homoarginine	NOS3
S-Isopropyl-Isothiourea	NOS3
N-(Chlorophenyl)-N'-Hydroxyguanidine	NOS3
Apremilast	NOS3|PDE4D|IFNG|PDE4A|IL2|TNF|PDE4B
(3S,5E)-3-propyl-3,4-dihydrothieno[2,3-f][1,4]oxazepin-5(2H)-imine	NOS3
5-{4-[(3,5-DIFLUOROBENZYL)AMINO]PHENYL}-6-ETHYLPYRIMIDINE-2,4-DIAMINE	NOS3|REN
